"","neighborhood","ofns_desc","count"
"143","Bedford Stuyvesant","ADMINISTRATIVE CODE",175
"144","Bedford Stuyvesant","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",18
"145","Bedford Stuyvesant","ALCOHOLIC BEVERAGE CONTROL LAW",1
"146","Bedford Stuyvesant","ANTICIPATORY OFFENSES",2
"147","Bedford Stuyvesant","ARSON",111
"148","Bedford Stuyvesant","ASSAULT 3 & RELATED OFFENSES",8053
"149","Bedford Stuyvesant","BURGLAR'S TOOLS",38
"150","Bedford Stuyvesant","BURGLARY",2925
"151","Bedford Stuyvesant","CANNABIS RELATED OFFENSES",2
"152","Bedford Stuyvesant","CHILD ABANDONMENT/NON SUPPORT",4
"153","Bedford Stuyvesant","CRIMINAL MISCHIEF & RELATED OF",7679
"154","Bedford Stuyvesant","CRIMINAL TRESPASS",576
"155","Bedford Stuyvesant","DANGEROUS DRUGS",2088
"156","Bedford Stuyvesant","DANGEROUS WEAPONS",1495
"157","Bedford Stuyvesant","DISORDERLY CONDUCT",4
"158","Bedford Stuyvesant","DISRUPTION OF A RELIGIOUS SERV",1
"159","Bedford Stuyvesant","ENDAN WELFARE INCOMP",3
"160","Bedford Stuyvesant","FELONY ASSAULT",4069
"161","Bedford Stuyvesant","FORGERY",836
"162","Bedford Stuyvesant","FRAUDS",248
"163","Bedford Stuyvesant","FRAUDULENT ACCOSTING",4
"164","Bedford Stuyvesant","GAMBLING",113
"165","Bedford Stuyvesant","GRAND LARCENY",5179
"166","Bedford Stuyvesant","GRAND LARCENY OF MOTOR VEHICLE",1040
"167","Bedford Stuyvesant","HARRASSMENT 2",12127
"168","Bedford Stuyvesant","HOMICIDE-NEGLIGENT,UNCLASSIFIE",2
"169","Bedford Stuyvesant","HOMICIDE-NEGLIGENT-VEHICLE",1
"170","Bedford Stuyvesant","INTOXICATED & IMPAIRED DRIVING",427
"171","Bedford Stuyvesant","JOSTLING",1
"172","Bedford Stuyvesant","KIDNAPPING",2
"173","Bedford Stuyvesant","KIDNAPPING & RELATED OFFENSES",14
"174","Bedford Stuyvesant","LOITERING/GAMBLING (CARDS, DIC",6
"175","Bedford Stuyvesant","MISCELLANEOUS PENAL LAW",2995
"176","Bedford Stuyvesant","MURDER & NON-NEGL. MANSLAUGHTER",67
"177","Bedford Stuyvesant","NYS LAWS-UNCLASSIFIED FELONY",73
"178","Bedford Stuyvesant","NYS LAWS-UNCLASSIFIED VIOLATION",3
"179","Bedford Stuyvesant","OFF. AGNST PUB ORD SENSBLTY &",3094
