"ofns_desc","Incident_Count","year","boro_nm"
"HARRASSMENT 2",14365,2018,"MANHATTAN"
"ASSAULT 3 & RELATED OFFENSES",10907,2018,"MANHATTAN"
"CRIMINAL MISCHIEF & RELATED OF",9518,2018,"MANHATTAN"
"OFF. AGNST PUB ORD SENSBLTY &",4703,2018,"MANHATTAN"
"FELONY ASSAULT",3824,2018,"MANHATTAN"
"DANGEROUS DRUGS",3814,2018,"MANHATTAN"
"ROBBERY",2725,2018,"MANHATTAN"
"BURGLARY",2627,2018,"MANHATTAN"
"PETIT LARCENY",15877,2018,"QUEENS"
"HARRASSMENT 2",14397,2018,"QUEENS"
"ASSAULT 3 & RELATED OFFENSES",10596,2018,"QUEENS"
"CRIMINAL MISCHIEF & RELATED OF",10040,2018,"QUEENS"
"GRAND LARCENY",8062,2018,"QUEENS"
"FELONY ASSAULT",3891,2018,"QUEENS"
"OFF. AGNST PUB ORD SENSBLTY &",3861,2018,"QUEENS"
"MISCELLANEOUS PENAL LAW",3417,2018,"QUEENS"
"ROBBERY",2536,2018,"QUEENS"
"BURGLARY",2488,2018,"QUEENS"
"HARRASSMENT 2",4523,2018,"STATEN ISLAND"
"PETIT LARCENY",3326,2018,"STATEN ISLAND"
"CRIMINAL MISCHIEF & RELATED OF",2527,2018,"STATEN ISLAND"
"ASSAULT 3 & RELATED OFFENSES",2230,2018,"STATEN ISLAND"
"OFF. AGNST PUB ORD SENSBLTY &",1171,2018,"STATEN ISLAND"
"GRAND LARCENY",1152,2018,"STATEN ISLAND"
"MISCELLANEOUS PENAL LAW",747,2018,"STATEN ISLAND"
"INTOXICATED & IMPAIRED DRIVING",739,2018,"STATEN ISLAND"
"FELONY ASSAULT",600,2018,"STATEN ISLAND"
"DANGEROUS DRUGS",472,2018,"STATEN ISLAND"
"PETIT LARCENY",88972,2019,"Overall"
"HARRASSMENT 2",71724,2019,"Overall"
"ASSAULT 3 & RELATED OFFENSES",52612,2019,"Overall"
"CRIMINAL MISCHIEF & RELATED OF",46840,2019,"Overall"
"GRAND LARCENY",43065,2019,"Overall"
"FELONY ASSAULT",20854,2019,"Overall"
"OFF. AGNST PUB ORD SENSBLTY &",19203,2019,"Overall"
"MISCELLANEOUS PENAL LAW",14214,2019,"Overall"
"DANGEROUS DRUGS",13487,2019,"Overall"
"ROBBERY",13434,2019,"Overall"
"HARRASSMENT 2",16880,2019,"BRONX"
"PETIT LARCENY",15654,2019,"BRONX"
"ASSAULT 3 & RELATED OFFENSES",14093,2019,"BRONX"
"CRIMINAL MISCHIEF & RELATED OF",11217,2019,"BRONX"
"GRAND LARCENY",6312,2019,"BRONX"
"FELONY ASSAULT",5893,2019,"BRONX"
"DANGEROUS DRUGS",4661,2019,"BRONX"
"OFF. AGNST PUB ORD SENSBLTY &",4293,2019,"BRONX"
"ROBBERY",3545,2019,"BRONX"
"OFFENSES AGAINST PUBLIC ADMINI",2422,2019,"BRONX"
"PETIT LARCENY",24369,2019,"BROOKLYN"
"HARRASSMENT 2",20496,2019,"BROOKLYN"
"ASSAULT 3 & RELATED OFFENSES",14415,2019,"BROOKLYN"
"CRIMINAL MISCHIEF & RELATED OF",13801,2019,"BROOKLYN"
"GRAND LARCENY",11357,2019,"BROOKLYN"
"FELONY ASSAULT",6100,2019,"BROOKLYN"
"OFF. AGNST PUB ORD SENSBLTY &",5979,2019,"BROOKLYN"
"MISCELLANEOUS PENAL LAW",5453,2019,"BROOKLYN"
"ROBBERY",4047,2019,"BROOKLYN"
"BURGLARY",3605,2019,"BROOKLYN"
"PETIT LARCENY",29288,2019,"MANHATTAN"
"GRAND LARCENY",16509,2019,"MANHATTAN"
"HARRASSMENT 2",14967,2019,"MANHATTAN"
"ASSAULT 3 & RELATED OFFENSES",11182,2019,"MANHATTAN"
"CRIMINAL MISCHIEF & RELATED OF",9259,2019,"MANHATTAN"
"OFF. AGNST PUB ORD SENSBLTY &",4402,2019,"MANHATTAN"
"FELONY ASSAULT",4018,2019,"MANHATTAN"
"DANGEROUS DRUGS",3830,2019,"MANHATTAN"
"ROBBERY",3117,2019,"MANHATTAN"
"BURGLARY",2569,2019,"MANHATTAN"
"PETIT LARCENY",16855,2019,"QUEENS"
"HARRASSMENT 2",15309,2019,"QUEENS"
"ASSAULT 3 & RELATED OFFENSES",10973,2019,"QUEENS"
"CRIMINAL MISCHIEF & RELATED OF",10114,2019,"QUEENS"
"GRAND LARCENY",7856,2019,"QUEENS"
"FELONY ASSAULT",4212,2019,"QUEENS"
"MISCELLANEOUS PENAL LAW",3592,2019,"QUEENS"
"OFF. AGNST PUB ORD SENSBLTY &",3492,2019,"QUEENS"
"ROBBERY",2498,2019,"QUEENS"
"BURGLARY",2429,2019,"QUEENS"
"HARRASSMENT 2",4071,2019,"STATEN ISLAND"
"PETIT LARCENY",2806,2019,"STATEN ISLAND"
"CRIMINAL MISCHIEF & RELATED OF",2449,2019,"STATEN ISLAND"
"ASSAULT 3 & RELATED OFFENSES",1948,2019,"STATEN ISLAND"
"OFF. AGNST PUB ORD SENSBLTY &",1037,2019,"STATEN ISLAND"
"GRAND LARCENY",1029,2019,"STATEN ISLAND"
"MISCELLANEOUS PENAL LAW",889,2019,"STATEN ISLAND"
"INTOXICATED & IMPAIRED DRIVING",646,2019,"STATEN ISLAND"
"FELONY ASSAULT",630,2019,"STATEN ISLAND"
"DANGEROUS DRUGS",492,2019,"STATEN ISLAND"
"PETIT LARCENY",82333,2020,"Overall"
"HARRASSMENT 2",66735,2020,"Overall"
"CRIMINAL MISCHIEF & RELATED OF",47289,2020,"Overall"
"ASSAULT 3 & RELATED OFFENSES",43417,2020,"Overall"
"GRAND LARCENY",35573,2020,"Overall"
"FELONY ASSAULT",20808,2020,"Overall"
"BURGLARY",15652,2020,"Overall"
"OFF. AGNST PUB ORD SENSBLTY &",15565,2020,"Overall"
"ROBBERY",13187,2020,"Overall"
"MISCELLANEOUS PENAL LAW",12714,2020,"Overall"
"HARRASSMENT 2",15791,2020,"BRONX"
"PETIT LARCENY",14217,2020,"BRONX"
